epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,345.388,1.25941,0.87388,1.28343,0.90452,0.87196,0.91545,0.65085,1.56949,0.90757,1.4542,0.00333128,0.00333128,0.00333128
2,664.72,1.32204,0.94292,1.31689,0.89272,0.85267,0.89528,0.61327,1.6213,1.0218,1.49115,0.00653266,0.00653266,0.00653266
3,981.232,1.40908,1.07668,1.36951,0.68759,0.63935,0.70969,0.44904,1.90023,1.65811,1.72729,0.00960203,0.00960203,0.00960203
4,1298.91,1.50524,1.24595,1.44013,0.80382,0.78024,0.84506,0.55962,1.69663,1.24568,1.56233,0.009406,0.009406,0.009406
5,1620.23,1.50701,1.25136,1.45202,0.84556,0.77309,0.84487,0.57188,1.73319,1.26885,1.58525,0.009208,0.009208,0.009208
6,1941.17,1.50767,1.25428,1.452,0.73364,0.73017,0.78257,0.50114,1.87463,1.47827,1.69541,0.00901,0.00901,0.00901
7,2262.08,1.50186,1.23962,1.45184,0.80737,0.75406,0.8315,0.55854,1.73406,1.35162,1.59279,0.008812,0.008812,0.008812
8,2580.53,1.49179,1.22205,1.44254,0.84118,0.81921,0.86879,0.5856,1.6568,1.17549,1.54347,0.008614,0.008614,0.008614
9,2899.83,1.48318,1.21249,1.43573,0.87336,0.81141,0.87339,0.59363,1.64151,1.1471,1.52445,0.008416,0.008416,0.008416
10,3216.65,1.4839,1.20941,1.43284,0.85945,0.82131,0.87565,0.60323,1.6406,1.15653,1.51384,0.008218,0.008218,0.008218
11,3533.05,1.47697,1.19349,1.42893,0.85821,0.83207,0.87792,0.61246,1.64139,1.11674,1.52277,0.00802,0.00802,0.00802
12,3852.8,1.46676,1.17482,1.41873,0.86684,0.83385,0.88694,0.61769,1.61811,1.09305,1.50166,0.007822,0.007822,0.007822
13,4173.14,1.469,1.17331,1.42287,0.88275,0.83954,0.88849,0.61564,1.59954,1.08803,1.49128,0.007624,0.007624,0.007624
14,4491.88,1.4549,1.15869,1.41592,0.89741,0.83906,0.89206,0.61453,1.60667,1.0712,1.50173,0.007426,0.007426,0.007426
15,4811.98,1.45963,1.15968,1.41269,0.88098,0.84409,0.89569,0.61669,1.57765,1.04393,1.4615,0.007228,0.007228,0.007228
16,5130.53,1.45197,1.13491,1.40614,0.87253,0.8473,0.89712,0.6246,1.58046,1.03249,1.46346,0.00703,0.00703,0.00703
17,5451.16,1.4384,1.1313,1.39867,0.89041,0.85337,0.90399,0.62944,1.58502,1.0161,1.46837,0.006832,0.006832,0.006832
18,5770.33,1.43485,1.1204,1.39667,0.89837,0.85707,0.90307,0.6322,1.57465,1.0069,1.46985,0.006634,0.006634,0.006634
19,6086.82,1.42568,1.11197,1.39264,0.89209,0.86245,0.9085,0.63919,1.55233,0.99108,1.45104,0.006436,0.006436,0.006436
20,6404.5,1.42381,1.097,1.38815,0.89134,0.85707,0.90864,0.64089,1.55427,0.9821,1.45295,0.006238,0.006238,0.006238
21,6722.67,1.42265,1.08886,1.3854,0.89008,0.86612,0.91278,0.64747,1.53694,0.96577,1.43199,0.00604,0.00604,0.00604
22,7037.89,1.40695,1.06991,1.37834,0.89844,0.86464,0.91349,0.6451,1.54078,0.95358,1.43678,0.005842,0.005842,0.005842
